Sr. No.,Barcode,Brand,Product Name,Weight,Category,Retail Price,Photograhy,Shopify,Product Picture in Shopify,Categorization
382,3850104003134,Vispak Tajana,Stuffed Pepper,50g,Soup,1.49,Done,Done,Done,Done
383,8714100823576,Vispak Tajana,Beans & Stews,60g,Soup,1.49,Done,Done,Done,Done
384,8714100823620,Vispak Tajana,Bosanian Pot,50g,Soup,1.49,Done,Done,Done,Done
385,8714100823590,Vispak Tajana,Begova Corba Bey's Soup,60g,Soup,1.49,Done,Done,Done,Done
386,7613035110878,Yumis,Rindfleischsuppe Beef Noodle Soup,65g,Soup,1.25,Done,Done,Done,Done
387,8690771130901,Yumis,Huhnersuppe Chicken Noodle Soup,65g,Soup,1.25,Done,Done,Done,Done
388,3850104047046,Podravka ,Brollopssoppa,58g,Soup,1.29,Done,Done,Done,Done
389,5904353039043,Podravka ,Honssoppa Med Pasta,62g,Noodles & Pasta,1.99,Done,Done,Done,Done
390,3850104008597,Podravka ,Rindersuppe Mit Nudeln,65g,Noodles & Pasta,1.99,Done,Done,Done,Done
391,8697550395674,Knorr,Gartenkrauter Mit Knoblauch,8g x 5 pcs,Soup,1.49,Done,Done,Done,Done
392,4012625430809,Knorr,Dillkrauter ,8g x 5 pcs,Soup,1.69,Done,Done,Done,Done
393,8853662056050,Knorr,7 Krauter,8g x 5 pcs,Soup,1.69,Done,Done,Done,Done
394,8691573072963,Maggi ,Tomaten Bolognese ,50g,Soup,1.29,Done,Done,Done,Done
395,4251354811125,Billur Tuz ,Deniz Tuzu Sea Salt,3000g,Spices,6.49,Done,Done,,
396,8691573093043,Podravka ,Vegeta Original,1000g,Spices,5.99,Done,Done,Done,Done
397,8690804000157,Podravka ,Vegeta Original,500g,Spices,3.99,Done,Done,Done,Done
398,8690804000065,Podravka ,Vegeta Original,250g,Spices,1.99,Done,Done,Done,Done
399,8690804001925,Hazra ,Tarhana,500g,Spices,3.99,Done,Done,Done,Done
400,8690804339882,Harika,Geleneksel Tarhana Corbasi,400g,Spices,3.49,Done,Done,Done,Done
401,8690804001376,Exotic Food,Sriracha Biber Sosu Cok Aci,200ml,Sauce,2.99,Done,Done,,
402,8690804000041,Burcu,Paprika Sos,330g,Sauce,3.29,Done,Done,Done,Done
403,8690804005602,Lorena,Curry Cruncy,500ml,Sauce,3.99,Done,Done,Done,Done
404,8690804301308,Burcu,Garlic Mayonnaise,290g,Sause,2.99,Done,Done,Done ,Done
405,8693891537711,Suntat,Peeled Wheat,500g,Lentins,1.99,Done,Done,Done,Done
406,8692971481845,Suntat,Borlotti Beans,500g,Lentins,0.99,Done,Done,Done,Done
407,8691573072970,Suntat,Popcorn Mais,500g,Lentins,1.99,Done,Done,,
408,8691573072956,Suntat,Gida Urunleri,500g,Lentins,2.99,Done,Done,,
409,8690508103451,Suntat,Yellow Lentins,500g,Lentins,2.59,Done,Done,Done,Done
410,8691573081910,Suntat,Red Lentins,500g,Lentins,1.58,Done,Done,Done,Done
411,6194004802037,Suntat,Die Vertrauensmarke,500g,Lentins,2.99,Done,Done,Done,Done
412,8693891196550,Suntat,Black Eye Beans,500g,Lentins,2.14,Done,Done,Done,Done
413,8691375568282,Oncu,Hot Ketchup,700g,Sauce,2.9,Done,Done,Done,Done
414,8853662056005,Ulker Bizim,Mayonnaise,650g,Sauce,3.49,Done,Done,Done,Done
415,6194055500272,Burcu,Ranch Sauce,290g,Sause,1.99,Done,Done,Done,Done
416,8692971481944,Burcu,Barbecue Sauce,330g,Sause,2.99,Done,Done,Done,Done
417,8692971481920,Tukas,Ketchup,400g,Sause,1.59,Done,Done,Done,Done
418,8699073291624,Burcu,Hot Ketchup,430g,Sause,3.49,Done,Done,Done,Done
419,8853662056012,Zgolli,Harissa Du CapBon,380g,Sause,3.29,Done,Done,Done,Done
420,8853662056029,Oncu,Red Hot Pepper Sauce,265g,Sause,2.49,Done,Done,Done,Done
421,8853662056074,Ulker Bizim,Aci Sos ,250g,Sause,1.99,Done,Done,Done,Done
422,8853662056067,Exotic Food,Sriacha Aci Biber Sosu,200ml,Sause,2.19,Done,Done,,
